"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"54","Miles Sanders",PHI,"RB24","2 out of 5 stars","2 out of 5 stars","+29"
"55","Breece Hall",NYJ,"RB25","4 out of 5 stars","4 out of 5 stars","-4"
"56","Ezekiel Elliott",DAL,"RB26","4 out of 5 stars","3 out of 5 stars","-26"
"57","Jerry Jeudy",DEN,"WR26","5 out of 5 stars","3 out of 5 stars","+7"
"58","Drake London",ATL,"WR27","3 out of 5 stars","4 out of 5 stars","+40"
"59","Lamar Jackson",BAL,"QB2","0 out of 5 stars","0 out of 5 stars","-18"
"60","Marquise Brown",ARI,"WR28","2 out of 5 stars","3 out of 5 stars","-2"
"61","Patrick Mahomes II",KC,"QB3","0 out of 5 stars","0 out of 5 stars","-32"
"62","Jalen Hurts",PHI,"QB4","0 out of 5 stars","0 out of 5 stars","-9"
"63","Antonio Gibson",WAS,"RB27","4 out of 5 stars","3 out of 5 stars","0"
"64","Devin Singletary",BUF,"RB28","4 out of 5 stars","3 out of 5 stars","+14"
"65","Dallas Goedert",PHI,"TE5","2 out of 5 stars","3 out of 5 stars","+4"
"66","Jeff Wilson Jr.",SF,"RB29","2 out of 5 stars","3 out of 5 stars","+183"
"67","Tony Pollard",DAL,"RB30","4 out of 5 stars","3 out of 5 stars","+19"
"68","Darrell Henderson Jr.",LAR,"RB31","2 out of 5 stars","4 out of 5 stars","+60"
"69","Chase Edmonds",MIA,"RB32","4 out of 5 stars","4 out of 5 stars","+18"
"70","Rhamondre Stevenson",NE,"RB33","4 out of 5 stars","3 out of 5 stars","+29"
"71","George Kittle",SF,"TE6","3 out of 5 stars","4 out of 5 stars","-33"
"72","Dameon Pierce",HOU,"RB34","3 out of 5 stars","3 out of 5 stars","+9"
"73","J.K. Dobbins",BAL,"RB35","3 out of 5 stars","4 out of 5 stars","-23"
"74","Dalton Schultz",DAL,"TE7","3 out of 5 stars","3 out of 5 stars","-19"
"75","JuJu Smith-Schuster",KC,"WR29","2 out of 5 stars","2 out of 5 stars","-2"
"76","DK Metcalf",SEA,"WR30","4 out of 5 stars","4 out of 5 stars","-29"
"77","Michael Carter",NYJ,"RB36","4 out of 5 stars","4 out of 5 stars","+36"
"78","Garrett Wilson",NYJ,"WR31","1 out of 5 stars","2 out of 5 stars","+56"
"79","Damien Harris",NE,"RB37","4 out of 5 stars","3 out of 5 stars","+3"
"80","Rashaad Penny",SEA,"RB38","3 out of 5 stars","3 out of 5 stars","+8"
"81","Zach Ertz",ARI,"TE8","3 out of 5 stars","4 out of 5 stars","+9"
"82","Elijah Moore",NYJ,"WR32","1 out of 5 stars","2 out of 5 stars","+10"
"83","Allen Robinson II",LAR,"WR33","3 out of 5 stars","2 out of 5 stars","-23"
"84","Justin Herbert",LAC,"QB5","0 out of 5 stars","0 out of 5 stars","-49"
"85","Darnell Mooney",CHI,"WR34","3 out of 5 stars","2 out of 5 stars","-13"
"86","Kyler Murray",ARI,"QB6","0 out of 5 stars","0 out of 5 stars","-34"
